,lon,lat,ele,sun,hum,pre,rai,N,cod
782,73.6163888889,-6.77194444444,300,0,0,6,6,2,23140070
783,73.51,-6.69638888889,815,0,1,3,3,3,23145020
784,73.8086111111,-7.02638888889,126,1,1,3,3,4,23155030
785,73.765,-6.85944444444,162,0,1,3,6,3,23155040
786,73.9441666667,-7.08944444444,140,0,0,3,6,2,23160010
787,74.7161111111,-7.01166666667,718,1,1,3,3,4,23175020
788,73.8930555556,-7.34861111111,128,0,0,3,6,2,23180020
789,73.55,-7.53333333333,136,0,0,3,6,2,23180030
790,73.4827777778,-7.45277777778,154,0,0,3,6,2,23180040
791,73.5980555556,-7.54138888889,98,0,0,3,6,2,23180050
792,73.5666666667,-7.51666666667,108,0,0,3,6,2,23180060
793,73.4894444444,-7.39,176,0,0,3,6,2,23180070
794,73.6783333333,-7.48944444444,132,0,0,3,6,2,23180080
795,73.8008333333,-7.78333333333,98,0,0,3,1,2,23180100
796,73.8252777778,-7.58611111111,105,0,0,3,1,2,23180110
797,73.9191666667,-7.22277777778,170,0,0,3,6,2,23180120
798,73.5372222222,-7.45611111111,328,1,1,3,6,4,23185010
799,73.4280555556,-7.83805555556,164,0,0,3,6,2,23190110
800,72.9705555556,-7.19611111111,1910,0,0,11,3,2,23190130
801,73.2013888889,-7.46472222222,500,0,0,6,3,2,23190140
802,73.6813888889,-7.59333333333,80,0,0,3,1,2,23190210
803,73.2136111111,-7.07972222222,1050,0,0,2,6,2,23190260
804,73.1330555556,-6.9675,950,0,0,2,4,2,23190280
805,72.9663888889,-7.11,3310,0,0,7,3,2,23190300
806,73.435,-7.4025,172,0,0,3,6,2,23190320
807,73.0647222222,-7.21333333333,996,0,0,2,6,2,23190340
808,73.1952777778,-7.24,778,0,0,11,4,2,23190350
809,73.165,-7.32805555556,800,0,0,6,3,2,23190360
810,73.2177777778,-7.21083333333,855,0,0,11,4,2,23190380
811,73.0572222222,-7.12444444444,1779,0,0,7,3,2,23190400
812,73.5666666667,-7.56666666667,124,0,0,3,6,2,23190420
813,73.2997222222,-7.205,825,0,0,6,4,2,23190440
814,72.8783333333,-7.30888888889,3220,0,0,11,6,2,23190450
815,73.6488888889,-7.61555555556,100,0,0,3,6,2,23190460
816,73.5075,-8.09888888889,228,0,0,7,1,2,23190480
817,73.3883333333,-7.75972222222,134,0,0,3,6,2,23190500
818,73.3275,-7.59555555556,300,0,0,6,6,2,23190510
819,73.4397222222,-7.99555555556,271,0,0,3,6,2,23190520
820,73.45,-7.45,170,0,0,3,6,2,23190530
821,73.1805555556,-7.65083333333,710,0,0,3,6,2,23190540
822,73.5597222222,-7.57444444444,96,0,0,3,6,2,23190560
823,73.6186111111,-8.08861111111,75,0,0,5,1,2,23190580
824,73.1238888889,-7.09027777778,925,0,0,11,6,2,23190590
825,73.2302777778,-6.9975,1280,0,0,2,4,2,23190600
